unique_id,release_year,title,origin,genre,plot
1397,2006,Live Free or Die,American,comedy,"A clueless, aspiring criminal named John ""Rugged"" Rudgate (Stanford) spends his days forging rebate coupons and selling speakers out the back of his van. One day, Rugged runs into an old acquaintance, the dim-witted Jeff Lagrand (Schneider), who recently returned home to help his cynical sister run the storage facility that they inherited from their father. When Rugged tries to force his way into the Lagrand family business, things go terribly wrong—and the situation gets even more complicated when an emotionally unstable cop begins investigating."
1398,2006,Local Color,American,drama,"John Talia is a teenager who aspires to be a painter, despite the fact that his eponymous father strongly disapproves of his interest in art. Talia manages to meet Nikolai Serov, an elderly Russian ex-patriot impressionist painter, who had been quite successful in the years before the modern art movement threw realism into disrepute. Serov is bitter and has not painted for years."
1399,2006,LOL,American,comedy-drama,"The movie follows three recent college graduates in Chicago: Tim, Chris and Alex. Tim watches the screen of his laptop as he makes out with his girlfriend. Chris conducts relationships by cellphone. Alex's preoccupation with chat rooms sabotages a potential face-to-face relationship with a girl he meets at a party."
1400,2006,The Long Weekend,American,comedy,"Cooper is an actor who sees life as one big party, while Ed is in advertising and takes life too seriously. When Ed gets stressed over a deadline he has to meet, Cooper works to get his brother hooked up with a girl, thus a long weekend of stress and beautiful women, culminating in Ed's meeting, and making love to, the woman of his dreams- and all without his brother's meddling."
1401,2006,Loren Cass,American,drama,"The story follows Nicole, Jason and Cale and secondarily The Suicide Kid, The Punk Kid and The Fight Kid, among others through the aftermath of the '96 riots.[2] It features several notable St. Petersburg landmarks including the Sunshine Skyway Bridge, the St. Petersburg Pier, St. Petersburg High School and the house where Jack Kerouac lived prior to his 1969 death."
1402,2006,Loving Annabelle,American,drama,"Annabelle Tillman (Erin Kelly), the daughter of a senator, is sent to a Catholic boarding school after being expelled from two of her previous schools. Simone Bradley (Diane Gaidry), a poetry teacher at the school, is in charge of her dormitory. Annabelle shares the dormitory with an amiable classmate, Kristen."
1403,2006,Lucky Number Slevin,American,crime drama,"Two bookies are separately ambushed and murdered by their unseen killers; elsewhere, a young man is killed by a sniper. In a bus terminal, a young man is approached by Goodkat, who tells the story of Max and the Kansas City Shuffle: two decades earlier, Max borrowed money from the mob to bet on a fixed horse race, only for the horse to die mid-race. To set an example to make sure nobody else would try to bet on a fixed race, the mob killed Max, his wife and young son Henry."
1404,2006, Mad Cowgirl,American,drama,"The central character in Mad Cowgirl is Therese, a meat inspector who is dying of a brain disorder. The film follows Therese on her surreal descent into violence, in which men in her life become the Ten Tigers of Canton that she must kill in order to become a better woman.
Victims of Therese's violent surreal madness include her meatpacking brother Thierry, naughty Pastor Dylan, and a Sri Lankan doctor."
1405,2006,Madea's Family Reunion,American,comedy-drama,"After Madea (Tyler Perry) violates the terms of her house arrest (which she was subjected to in the previous film), the judge orders her to take in a troubled foster child named Nikki (Keke Palmer) in order to avoid jail. Lisa Breaux (Rochelle Aytes), one of Madea's nieces, is engaged to Carlos Armstrong (Blair Underwood), an abusive and controlling investment banker."
1406,2006,Man About Town,American,comedy,"Top Hollywood talent agent, Jack Giamoro (Ben Affleck), seems to have it all: a successful career, a lot of money, a nice car, a beautiful wife, etc. However, while pursuing success, he somehow lost himself and neglected his marriage. He decides to take a journal writing class to do some self-searching."
1407,2006,Man of the Year,American,comedy,"Tom Dobbs is host of a satirical news program, where he taps into people's frustrations with the sharply divided, special interest-driven political climate. When an audience member suggests that he run for president, Dobbs laughs it off, but following an online groundswell of support, he announces on air that he will stand as a candidate. He gets on the ballot in 13 states and participates in one of the national debates with the Democratic incumbent, President Kellogg, and Republican candidate, Senator Mills."
1408,2006,Marie Antoinette,American,biography,"Fourteen-year-old Maria Antonia is the beautiful, charming, and naive Archduchess of Austria, youngest of Empress Maria Theresa's daughters. In 1770, the only one left unmarried among her sisters, she is sent by her mother to marry the Dauphin of France, the future Louis XVI of France, to seal an alliance between the two rival countries. Marie Antoinette travels to France, relinquishing all connections with her home country, including her pet pug ""Mops"", and meets the King Louis XV of France and her future husband, Louis Auguste."
1409,2006,The Marine,American,action,"In Iraq, John Triton (John Cena) of the United States Marine Corps is closing in on an al-Qaeda hideout, where a group of terrorists are preparing to behead several hostages. Disregarding direct orders to wait for reinforcements, Triton attacks the extremists and rescues the hostages. The next morning, his colonel informs Triton that he is being honorably discharged for disobeying direct orders."
1410,2006,Mark of the Damned,American,horror,"Set in an amplified world, telling the story of Diane, a young woman pursued by a brutal force that threatens to consummate the inhuman prophecy she may have been born to fulfill. Alive with tension, this story offers a scenario where human kind must brave the passions of space horror to insure the tomorrow of a sane earth."
1411,2006,Material Girls,American,comedy,"Tanzania ""Tanzie"" (Hilary Duff) and Ava (Haylie Duff) are two rich, spoiled Hollywood socialite sisters who enjoy material things such as shopping and dating, rather than caring about the family cosmetics company which was founded by their late father, Victor Manchetta (Philip Casnoff). Marchetta Cosmetics is run by co-founder and family friend Tommy Katzenbach (Brent Spiner). Tanzie plans to go to college in the future and Ava is planning to announce her engagement with fiancè Mic (Brandon Beemer)."
1412,2006,Miami Vice,American,action,"While working an undercover prostitute sting operation in a nightclub to arrest a pimp named Neptune, Miami-Dade Police detectives James ""Sonny"" Crockett and Ricardo ""Rico"" Tubbs receive a frantic phone call from their former informant Alonzo Stevens. Stevens reveals that he's leaving town, and, believing his wife Leonetta to be in immediate danger, asks Rico to check on her. Crockett learns that Stevens was working as an informant for the FBI but has been compromised."
1413,2006,Mini's First Time,American,comedy-drama,"Mini Drogues (Nikki Reed) is a clever and adventurous high school senior who is bored with her life. Mini prizes her ""unique experiences"" (she calls them ""firsts""). For excitement, and to add to her list of firsts, Mini decides to try being a call girl."
1414,2006,Minotaur,American,horror,"In the Minoan Bronze Age, a shadow loomed over the village of Thena. Every three years, under King Deucalion's order, eight youths are taken from the village to the capital of the Minos' Empire. There, they are placed in an underground labyrinth to be sacrifices to the Minotaur, the Minoan god."
1415,2006,Miss Potter,American,biography,"The story begins with Beatrix Potter nervously packing her portfolio and narrating that she is a London spinster, and that her ambition to become a children's author meets with wide disapproval. She and her chaperone, Miss Wiggin, visit the publishing house of Harold and Fruing Warne, who decide to publish her book. Beatrix is thrilled and returns home, taking a drive through the parks to celebrate first."
1416,2006,Modern Man,American,drama,"The story takes place almost completely outdoors on a large estate. A man in his twenties inhabits the area, going about his daily upkeep of the property. In the final sequence, the young man plays piano, looks in a mirror with an air of satisfaction and showers with his clothes on."
1417,2006,Monster House,American,animation,"The parents of twelve-year-old DJ Walters leave town for the weekend, leaving him in the care of his babysitter, Zee. DJ has been spying on his elderly neighbor Horace Nebbercracker, who confiscates any item landing in his yard. After DJ's best friend Charles ""Chowder"" loses his basketball on Nebbercracker's lawn, DJ is caught by Nebbercracker trying to recover it, but the enraged owner apparently suffers a heart attack and is taken away by an ambulance."
1418,2006,Mission: Impossible III,American,action,"Ethan Hunt has retired from field work for the IMF. He instead trains new recruits while settling down with his fiancée, Julia Meade, a nurse who is unaware of Ethan's true job. He is approached by fellow IMF agent John Musgrave about a mission to rescue one of Ethan's protégés, Lindsey Farris."
1419,2006,My Super Ex-Girlfriend,American,superhero,"After foiling a purse snatcher who tries to steal Jenny Johnson's (Uma Thurman) purse on the subway, Matthew Saunders (Luke Wilson) becomes Jenny's ""hero"" and starts dating this shy stranger. After several dates, Jenny displays increasingly neurotic and aggressive behavior, becoming more demanding and ultimately injuring Matt and destroying his bed the first time they have sex."
1420,2006, Nacho Libre,American,comedy,"Ignacio's parents were a Scandinavian Lutheran missionary and a Mexican deacon, who both died when Ignacio was young. Now a cook for the Oaxaca, Mexico, monastery orphanage where he was raised, Ignacio dreams of becoming a luchador, but wrestling is strictly forbidden by the monastery. Ignacio cares deeply for the orphans and loves them with all his heart, but his food is terrible because he cannot afford quality ingredients."
1421,2006,National Lampoon's Van Wilder: The Rise of Taj,American,comedy,"Taj Badalandabad (Kal Penn), the personal assistant to local hero Van Wilder, has just graduated Coolidge College and is now on his way to England's Camford University. Taj plans to follow in the footsteps of his father — not only by obtaining a degree, but also to become a member of an exclusive campus Fraternal Guild, the Fox and Hounds, where Taj hopes he will become the next generation of Badalandabads to be deservedly nicknamed the ""Sultan of Snatch."
1422,2006,The Nativity Story,American,family,Set in the year 5 .B.C. The story begins with the portrayal of the Massacre of the Innocents in the Nativity. The remainder of the film portrays the annunciation (conception) and birth of Jesus Christ to explain why King Herod the Great (Ciarán Hinds) ordered the murder.
1423,2006,Night at the Museum,American,fantasy,"Larry Daley is a divorced man from Brooklyn, hoping to find a good job to impress his ten-year-old son Nick, but his ex-wife Erica believing he is a bad example for their son. Larry is hired at the American Museum of Natural History to replace the retiring security guards Cecil Fredericks, Gus, and Reginald. Larry meets the museum’s neurotic curator Dr. McPhee, and very attractive museum docent Rebecca Hutman, who plans to write a dissertation on Sacagawea."
1424,2006,The Night Listener,American,thriller,"Gabriel Noone (Robin Williams), a popular gay New York City radio show host, is dealing with a separation from his partner, Jess (Bobby Cannavale). Noone is given a memoir written by teenager Pete Logand (Rory Culkin), who chronicles the many years of sexual abuse he suffered at the hands of his parents and their friends. Diagnosed with AIDS, the youth has been adopted by Donna Logand (Toni Collette), the social worker who handled his case."
1425,2006,Night of the Living Dead 3D,American,horror,"In this latest interpretation, the characters Barb and her brother Johnny arrive late for their aunt's funeral and find the cemetery overrun with zombies. After Johnny abandons her, Barb flees the cemetery and is rescued by Ben, a local college student. The two seek refuge in the nearby farmhouse of the Cooper family (Henry & Hellie Cooper, Henry's daughter and Hellie's stepdaughter Karen, farmhand Owen, and farmhand Tom and his girlfriend Judy), and attempt to live through the night along with other survivors, including the pyrophobic mortician, Gerald Tovar, Jr."
1426,2006,The Night of the White Pants,American,comedy-drama,"Max Hagan, a Texas oil tycoon, is going through a difficult divorce. When his soon-to-be ex-wife throws him out of his house with nothing but the clothes he's wearing (including the titular ""white pants""), he becomes entangled in a sex, drugs and rock-'n'-roll-laden adventure with his daughter's punk-rocker boyfriend as he tries to make things right between himself and his dysfunctional family."
1427,2006,Nightmare Man,American,horror,"Ellen believes there is a supernatural creature trying to kill her named the ""Nightmare Man"". However, her husband and doctors believe she is a paranoid schizophrenic. On the way to a psychiatric ward, the Morris' car breaks down."
1428,2006, O Jerusalem,American,drama,"Two Americans, one Jewish, the other Arab, are friends. As the United Nations votes for the creation of the state of Israel, both are pulled into conflict, their involvement taking them from New York City to Jerusalem, where they risk their lives for what they each believe in. It depicts the Israeli War of Independence and the end of the British mandate of Palestine."
1429,2006,The Oh in Ohio,American,comedy,"Frustrated with the fact that he cannot give his wife Priscilla (Parker Posey) an orgasm, Jack (Paul Rudd) moves out of the house and starts a relationship with Kristen (Mischa Barton), his student. Unfulfilled, Priscilla forms an unlikely partnership with Wayne (Danny DeVito), a businessman more than twice her age."
1430,2006,The Omen,American,horror,"Robert Thorn (Liev Schreiber), an American diplomat stationed in Italy, is told that his son died during birth. Unknown to his unconscious wife, Katherine (Julia Stiles), Robert adopts an orphaned newborn at the suggestion of the hospital's Catholic priest, Father Spiletto (Giovanni Lombardo Radice). Naming him Damien (Seamus Davey-Fitzpatrick), Robert and Katherine raise the boy."
1431,2006,One Night with the King,American,drama,"The movie is set in Susa, Persia (modern-day Iran). King Xerxes holds a great feast for all the people to attend. Hadassah (the main protagonist) longs to go to Jerusalem to see the Holy Land and prepares to leave with the caravan along with her friend, Jesse."
1432,2006,Open Season,American,animation,"In the peaceful town of Timberline, 900-pound (408 kg) grizzly bear Boog enjoys a captive, but pampered existence and spends his day as the star attraction of the town's nature show while at night living in the garage of park ranger Beth, who raised him since he was a cub. One day, the sadistic hunting fanatic Shaw drives into town with the one-antlered deer Elliot strapped to the hood of his truck. Boog frees Elliot, at the last minute, against his better judgment, before Shaw catches him."
1433,2006,Over the Hedge,American,animation,"While scavenging for food, RJ the raccoon enters the cave of Vincent the bear, who has a wagon full of human food taken from a nearby rest stop. RJ accidentally wakes Vincent from his hibernation, and in a race to escape, causes the stash to roll out onto the nearby highway and get run over by a large truck. To avoid being eaten himself, RJ promises Vincent that he will completely replace the stash within the week."
1434,2006, The Painted Veil,American,drama,"On a brief trip back to London, earnest, bookish bacteriologist Walter Fane (Edward Norton) is dazzled by Kitty Garstin (Naomi Watts), a vain London socialite. He proposes; she accepts (""only to get as far away from [her] mother as possible""), and the couple honeymoon in Venice. They travel on to Walter's medical post in Shanghai, where he is stationed in a government lab studying infectious diseases."
1435,2006,Pan's Labyrinth,American,fantasy,"In a fairy tale, Princess Moanna, whose father is the king of the underworld, visits the human world, where the sunlight blinds her and erases her memory. She becomes mortal and dies. The king believes that eventually, her spirit will return to the underworld, so he builds labyrinths (which act as portals) around the world in preparation for her return."
1436,2006,Peaceful Warrior,American,drama,"Dan Millman is a university student as well as a locally famous gymnast who dreams of winning a National Championship competition. He suffers from restlessness, and on one occasion, Dan attempts to compensate for the restlessness by running along streets before sunrise. At a car-service station, he encounters an old man who seems to know more about Dan's problem than Dan himself knows, whom Dan later nicknames ""Socrates""."
1437,2006,Penelope,American,romantic comedy,"Penelope Wilhern (Christina Ricci) is a young woman from a wealthy family. What sets her apart is that she has the ears and nose of a pig. Generations ago, an embittered and vengeful witch (Michael Feast) placed a curse on the Wilhern family after their son had an affair with her daughter, one of the Wilhern servants, and, talked out of marrying her by his arrogant and disapproving family, abandoned her and married someone of his own status."
1438,2006,Perfume: The Story of a Murderer,American,crime drama,"The film begins with the sentencing of Jean-Baptiste Grenouille (Ben Whishaw), a notorious murderer. Between the reading of the sentence and the execution, the story of his life is told in flashback, beginning with his abandonment at birth in a French fish market. Raised in an orphanage, Grenouille grows into a strangely detached boy with a superhuman sense of smell."
1439,2006,Phat Girlz,American,comedy,"Jazmin Biltmore is a smart-mouthed, frustrated, plus-sized, aspiring fashion designer and department store employee who is obsessed with her weight. Jazmin has always been overweight, unlike her skinny, cousin Mia. Jazmin wins a trip to Palm Springs for the weekend at a five-star resort."
1440,2006,The Pink Panther,American,comedy,"Chief Inspector Charles Dreyfus narrates a flashback of a football match between France and China. French coach Yves Gluant enters the stadium, wearing the Pink Panther diamond ring, which is seen by his team as a symbol of pride and victory. He kisses his girlfriend, pop star Xania, and whispers something to her."
1441,2006,Pirates of the Caribbean: Dead Man's Chest,American,adventure,"The wedding of Will Turner and Elizabeth Swann is halted when Lord Cutler Beckett, chairman of the East India Trading Company, arrives with arrest warrants for them, and also for Commodore James Norrington, who allowed Captain Jack Sparrow to escape. Norrington has resigned and disappeared after losing the Navy's flagship, the HMS Dauntless, in a hurricane while pursuing Jack. Meanwhile, Jack is visited by Will's father, Bootstrap Bill Turner, aboard the Black Pearl."
1442,2006,Poseidon,American,disaster film,"The RMS Poseidon, a luxury ocean liner, is making a transatlantic crossing. Former New York City Mayor and FDNY firefighter Robert Ramsey (Kurt Russell) is traveling with his daughter Jennifer (Emmy Rossum) and her boyfriend Christian (Mike Vogel) to New York, soon to be engaged. Also on board is former Navy submariner-turned-professional gambler Dylan Johns (Josh Lucas), architect Richard Nelson (Richard Dreyfuss), Maggie James (Jacinda Barrett) and her son Conor (Jimmy Bennett), stowaway Elena (Mía Maestro), and waiter Valentin (Freddy Rodriguez)."
1443,2006,A Prairie Home Companion,American,musical comedy,"A long-running live radio show is in danger of being canceled by new owners of the company that holds both radio station ""WLT"" and the theater where the show is broadcast. The film takes place on the night of the show's last performance. The show has two visitors: an angel calling herself Asphodel (Virginia Madsen) comes to comfort the people who work on the show and to escort one of them to the afterlife, while ""the Axeman"" (Tommy Lee Jones), a representative of the new owners, arrives to judge whether the show should be canceled."
1444,2006,The Prestige,American,crime drama,"In 1890s London Robert Angier and Alfred Borden work as shills for Milton the Magician, alongside stage engineer (ingénieur) Cutter and assistant Julia, Angier's wife. Milton's famous trick is the water tank trick, where Julia is bound in ropes and dropped in a water tank from which she frees herself. When Borden ties her hands with a riskier slip knot, Julia fails to slip the knot and drowns, devastating Angier and fueling his deep-seated grudge against Borden."
1445,2006,"Puff, Puff, Pass",American,comedy,"The film opens with an infomercial, given by Dick Dupre (a parody of Don Lapre) played by John C. McGinley, which Larry (Danny Masterson) and Rico (Ronnie Warner) are watching. Larry and Rico are two stoners who live in a one-room apartment, and after watching the entire infomercial, they decide to start a ""tiny classified ads"" business."
1446,2006,Pulse,American,horror,"When Josh Ockmann (Jonathan Tucker) enters a dark university library intending to meet his friend Douglas Ziegler (Kel O'Neill), he is attacked by a humanoid spirit that sucks the life force out of him. Some days later, Josh's girlfriend, Mattie Webber (Kristen Bell), visits his apartment, seeing evidence that it has not been well kept. Josh tells Mattie to wait in the kitchen while he walks off."
1447,2006,The Pursuit of Happyness,American,biography,"In 1981, San Francisco salesman Chris Gardner invests his entire life savings in portable bone density scanners, which he demonstrates to doctors and pitches as a handy quantum leap over standard X-rays. The scanners play a vital role in his life. While he is able to sell most of them, the time lag between the sales and his growing financial demands enrage his already bitter and alienated wife Linda, who works as a hotel maid."
1448,2006, The Quick and the Undead,American,horror,"In the present, a plague breaks out causing the infected to become zombies. The action starts 80 years later, where the western United States has devolved into a series of ghost towns overrun by zombies. The government awards bounty hunters bounties in exchange for pinkies of the undead.[1] Ryn Baskin (Clint Glenn) is a bounty hunter."
1449,2006,Quinceañera,American,drama,"Magdalena, a fourteen-year-old girl from a working-class Mexican American family in Echo Park, Los Angeles, attends her cousin Eileen's quinceañera, an extravagant coming-of-age ceremony to celebrate her fifteenth birthday. Eileen's older brother Carlos—who has been disowned by his family due to his homosexuality and now lives with his great-uncle Tomas—arrives at the celebrations but is forced to leave by his father. Magdalena herself is about to turn fifteen but her parents cannot afford to host a quinceañera as lavish as Eileen's, and they deny her repeated requests to hire a Hummer limousine for the occasion."
1450,2006,Relative Strangers,American,comedy,"Thirty-four-year-old psychologist Richard Clayton's (Ron Livingston) parents reveal to him that he was adopted. He then sets out to find out who his biological parents are, but disaster ensues when it turns out that his parents, Frank (Danny DeVito) and Agnes Menure (Kathy Bates), are crude, lower class carnies. They follow him home and cause chaos to his normal life."
1451,2006,The Return,American,thriller,"Joanna Mills (Sarah Michelle Gellar), a travelling rep for a trucking company, is dedicated to her successful career but something of a loner. Since the age of 11 she has been a troubled person, with episodes of self-mutilation and menacing visions. Normally she avoids returning to her native Texas, but agrees to a trip there to secure an important client."
1452,2006,Right at Your Door,American,drama,"The film opens with Brad (Rory Cochrane), an out-of-work musician, making coffee for his wife, Lexi (Mary McCormack), who is still in bed. She leaves for work and Brad is left home alone. Over the radio, he hears that several suspected dirty bombs have been detonated across Los Angeles."
1453,2006,Robotech: The Shadow Chronicles,American,animation,"In June 2044, the Robotech Expeditionary Force (REF) fleet gathers at Moon Base ALUCE for its final attempt to drive the alien Invid from the Earth. This time, the REF has important technological advantages thanks to the help of the Sentinel races; the Karbarrans provided the industrial resources to construct this armada, while a secretive and highly advanced cybernetic race known as the Haydonites have provided advanced technology including Shadow devices, which make REF ships invisible to Invid sensors, and Syncro-Cannons, which are significantly more powerful than the REF's earlier weapons."
1454,2006,Rocky Balboa,American,drama,"Rocky Balboa, now in his late fifties and retired from boxing, lives a quiet life as a widower, Adrian having died from cancer four years prior. He now runs a small but successful Italian restaurant named after her, where he regales his patrons with stories of his past. He also battles personal demons, involving his grief over Adrian's death, the changing times, and his eroding relationship with his son Robert, who has moved out to become a struggling corporate employee."
1455,2006,Romeo & Juliet: Sealed with a Kiss,American,animation,"Warring Capulets (Michael Toland) and Montagues (Stephen Goldberg), portrayed as Steller and California sea lions respectively, have their feud watched sadly by Capulet's only daughter, Juliet (Patricia Trippett). A fight on the shore is ended when the Prince (Phil Nibbelink), a large and monstrous elephant seal, appears and warns the two groups that, should there be any more disturbance, the seal who caused it shall be exiled to Shark Island, a fin shaped rock where a shark lives. Romeo (Daniel Tripett), Montague's only son, is depressed, wishing to fall in love with someone."
1456,2006,Room 6,American,horror,"Amy is an elementary school teacher who suffers from nightmares about doctors and hospitals, stemming from the circumstances of her father's death. On the afternoon of the day he proposed, Amy and her fiancé Nick are in a serious car accident. An ambulance takes Nick away without telling Amy which hospital they are going to."
1457,2006,Running Scared,American,crime drama,"Joey Gazelle (Paul Walker), a low-level associate for New Jersey Mafia member Tommy ""Tombs"" Perello (Johnny Messner), is present when a drug deal with a Jamaican gang goes wrong. A trio of corrupt cops led by Rydell (Chazz Palminteri), storm in to steal the drugs, money and kill everyone else, but a shootout ensues, resulting in the deaths of two of the officers. Tommy looks to Joey to get rid of the guns but instead, Joey goes home to his wife Teresa (Vera Farmiga), and his son, Nicky (Alex Neuberger)."
1458,2006,Running with Scissors,American,comedy-drama,"Augusten Burroughs' mother, Deirdre, who wishes to become a famous poet, suffers from severe mood swings and erratic behavior. Augusten's alcoholic father, Norman, proves to be of no help. By the time he is a young teenager, Augusten no longer feels safe in his own house because of his parents."
1459,2006,RV,American,adventure,"Bob Munro (Robin Williams), a successful California beverage company executive, is struggling with a dysfunctional family, with his materialistic wife Jamie (Cheryl Hines), his sharp-tongued teenage daughter Cassie (Joanna ""JoJo"" Levesque), and his son Carl (Josh Hutcherson), who is an adolescent weightlifter and likes hip hop. At a company picnic, Bob is embarrassed in front of his self-absorbed boss Todd (Will Arnett) by Cassie's militant friend Gretchen, who hurls a bottle of fat all over Todd for putting unhealthy drinks in schools."
1460,2006,The Santa Clause 3: The Escape Clause,American,fantasy,"Carol/Mrs. Claus is teaching a class of young elves and begins telling them a story of her life with Scott Calvin/Santa Claus. The couple are expecting their first child as Christmas Eve approached. Scott invites his in-laws, Sylvia and Bud Newman, to the North Pole, along with Scott's former wife, Laura, her husband, Neil, and their daughter, Lucy."
1461,2006,The Sasquatch Gang,American,comedy,"Young sci-fi/fantasy enthusiast Gavin Gore (Jeremy Sumpter) and his ragtag group of nerd friends, girlfriend Sophie Suchowski (Addie Land), swordsman Hobie Plumber (Hubbel Palmer), and young Maynard Keyes (Rob Pinkston) stumble upon some ""large tracks"" and a ""big ole sasquatch dumplin'"" whilst walking some trails in the nearby woods. Unbeknownst to the friends, two of Gavin's redneck neighbors, Zerk Wilder (Justin Long) and Shirts Joachim (Joey Kern) planted some fake evidence as a plan to gain profits and pay off Zerk's credit card bill. Soon the publicity stunt gains the attention of a local Sasquatch ""expert"" (Carl Weathers)."
1462,2006,Saving Shiloh,American,family,The movie begins with Marty Preston (Jason Dolley) explaining the events of Shiloh and Shiloh 2: Shiloh Season. Then Judd Travers (Scott Wilson) shows up at the Preston home with dead squirrels as a present for Marty and his family for helping him after his truck accident in the second film. A fearful Shiloh runs into the kitchen since he is still scared of Judd.
1463,2006,Saw III,American,horror,"After being left in the bathroom to die, Detective Eric Matthews breaks his foot with a toilet lid to escape his shackle. Six months later, the aftermath of a Jigsaw ""game"" is discovered by a SWAT team. The victim was meant to rip chains from his body in order to escape from a bomb."
1464,2006,A Scanner Darkly,American,animation,"The United States has lost the war on drugs. Substance D, a powerful and dangerous drug that causes bizarre hallucinations, has swept the country. Approximately 20% of the total population is addicted."
1465,2006,Scary Movie 4,American,comedy,"Shaquille O'Neal and Dr. Phil wake up to find themselves chained to pipes in a bathroom. Their host, Billy the Puppet, reveals that the room is slowly filling with nerve gas with the only way out being to make a basket and get the saws, which have to be used on their feet. Unfortunately, Dr. Phil saws the wrong foot and faints, leaving the two to die."
1466,2006,School for Scoundrels,American,comedy,"Roger (Jon Heder) is a downtrodden meter reader, subject to ridicule from co-workers and regular denizens, who dreams of dating the foreign graduate student who lives in his building, Amanda (Jacinda Barrett). To overcome his lack of self-esteem, he signs up for a course taught by Dr. P (Billy Bob Thornton) where Roger and his classmates are constantly bullied by Dr. P and his assistant Lesher (Michael Clarke Duncan), who likes to use outrageous and unethical methods on them, including humiliation."
1467,2006,Scoop,American,romantic comedy,"Following the memorial service for investigative reporter Joe Strombel (McShane), Strombel's spirit finds himself on the barge of death with several others, including a young woman who believes she was poisoned by her employer, Peter Lyman (Jackman). The woman tells Strombel she thinks Lyman, a handsome British aristocrat with political ambitions, may be the Tarot Card Killer, a notorious serial killer of prostitutes, and that he killed her when she stumbled onto his secret. The Tarot Card Killer left a card on each murder victim's body."
1468,2006,The Second Chance,American,drama,"Ethan Jenkins (Michael W. Smith) is a pastor who enjoys working with his well-to-do congregation. At the request of his father, Ethan takes an assignment at Second Chance Church, where he meets Jake Sanders (Jeff Obafemi Carr)."
1469,2006,Secret of the Cave,American,adventure,"The film follows a young American boy named Roy Wallace (Kevin Novotny) who spends his summer in a tiny fishing village on the coast of western Ireland. After a short while, unexplainable events and deeds begin to occur and rumors of ghosts sweep the village. All these things are pointing to something mysterious that is going on in a nearby cave."
1470,2006,See No Evil,American,horror,"Officer Frank Williams (Steven Vidler) and his partner Blaine investigate an abandoned house, where they find a young woman with her eyes ripped out. A large figure with an axe then murders Blaine and Frank has his arm chopped off before he is able to shoot the attacker in the head. Afterwards, detectives find seven bodies in the house, all of which have had their eyes ripped out."
1471,2006,The Sentinel,American,crime drama,"Pete Garrison (Michael Douglas) is a Secret Service agent and one of the personal bodyguards for First Lady of the United States Sarah Ballentine (Kim Basinger), with whom he is having an affair. He is one of the oldest and most experienced agents, having been involved in saving Ronald Reagan's life. His close friend and fellow agent, Charlie Merriweather (Clark Johnson), is murdered."
1472,2006,The Shaggy Dog,American,comedy,"Dave Douglas (Tim Allen) is a deputy district attorney in Los Angeles County who is prosecuting social studies teacher and activist Justin Forrester (Joshua Leonard) for firebombing the pharmaceutical corporation Grant and Strictland. Forrester denies this, but claims that Grant and Strictland have been engaging in illegal animal experimentation. This distances Douglas from his daughter Carly (Zena Grey), one of Forrester's students."
1473,2006,Shark Bait,American,animation,"Pisces, or Pi (Freddie Prinze, Jr.), is a 5-year-old orange fish that lives happily with his parents Pike and Piper in the polluted harbor of Boston, Massachusetts, until a fishing boat scoops them from the sea. Pi's parents manage to help him escape, but cannot escape themselves. Before Pi's parents are taken away, Piper tells Pi to promise her he would go live with his aunt."
1474,2006,She's the Man,American,romantic comedy,"Viola Hastings (Amanda Bynes) is a teen girl who plays for Cornwall College’s soccer team until the team gets cut. Meanwhile, her twin brother, Sebastian (James Kirk), is supposed to enroll in Illyria, an elite boarding school, but he secretly goes to London with his fledgling band instead. Viola agrees to cover for him and decides to pass herself off as Sebastian, in hopes of joining their boys' team and beating Cornwall to prove their coach and her cocky ex-boyfriend, Justin (Robert Hoffman), wrong."
1475,2006,Sherrybaby,American,drama,"Sherry Swanson, a young woman who has recently been released from prison and is recovering from a heroin addiction, is trying to rebuild her life on the outside. Above all, she wants to repair her relationship with her young daughter, but finds the challenges more daunting than she had expected. Her daughter barely recognizes her and no longer calls her ""mommy"", the halfway house where she lives has a curfew that interferes with her ability to visit her family, and her relationship with her family has become tense and strained."
1476,2006,Shortbus,American,comedy-drama,"Set in contemporary New York City, Shortbus revolves around Sofia Lin (Sook-Yin Lee), who is married to the handsome but unambitious and slightly dim-witted Rob (Raphael Barker). She works as a couples counselor/sex therapist. She comes into contact with a couple: A slightly egotistical former child star Jamie (PJ DeBoy) and former prostitute James (Paul Dawson), the film's other lead character."
1477,2006,Shottas,American,crime drama,"The film tells the story of two young men, Biggs (Errol) (Ky-Mani Marley) and Wayne (Spragga Benz), who grow up together in the tough and dangerous streets of (Waterhouse) Kingston. They rob a soda truck and shoot the truck driver while they are still children. The robbery money is used to purchase visas to go the United States, where they continue their criminal activities, hustling on the streets of Miami."
1478,2006,Silent Hill,American,horror,"Rose Da Silva and her husband Christopher are deeply disturbed by their adopted daughter Sharon’s constant sleepwalking and nightmares about Silent Hill, a town that was abandoned 30 years ago due to a massive coal seam fire. Against Christopher’s wishes, Rose takes Sharon on a trip to Silent Hill to find answers. Her erratic behaviour concerns police officer Cybil Bennett."
